EDC100_101	Energy	Weighted					Summe		
421,77344	-0,299	-126,1102586				1,571	1082,931504		
419,00195	-0,294	-123,1865733				1,576	1089,387988		
-304,78125	-0,289	88,08178125				1,581	1092,961926		
-500,45312	-0,284	142,1286861				1,586	1095,14554		
-139,16992	-0,279	38,82840768				1,591	1098,413736		
-181,58789	-0,274	49,75508186				1,596	1101,102233		
-397,98828	-0,269	107,0588473				1,601	1101,390469		
565,70508	-0,264	-149,3461411				1,606	1101,240595		
-127,74414	-0,259	33,08573226				1,611	1102,182553		
123,33594	-0,254	-31,32732876				1,616	1103,534151		
-113,34961	-0,249	28,22405289				1,621	1104,891306		
298,375	-0,244	-72,8035				1,626	1106,386199		
-4,5566406	-0,239	1,089037103				1,631	1108,205629		
220,97656	-0,234	-51,70851504				1,636	1112,765371		
-450,73242	-0,229	103,2177242				1,641	1120,644588		
-379,91406	-0,224	85,10074944				1,646	1126,579682		
93,71875	-0,219	-20,52440625				1,651	1128,98496	2794517,228	4,47696E+23
-334,25781	-0,214	71,53117134							
24,244141	-0,209	-5,067025469							
440,36133	-0,204	-89,83371132							
-6,8105469	-0,199	1,355298833							
76,804688	-0,194	-14,90010947							
-621,55859	-0,189	117,4745735							
-384,70312	-0,184	70,78537408							
40,095703	-0,179	-7,177130837							
185,10547	-0,174	-32,20835178							
-42,695312	-0,169	7,215507728							
65,363281	-0,164	-10,71957808							
207,91797	-0,159	-33,05895723							
-96,296875	-0,154	14,82971875							
-233,39453	-0,149	34,77578497							
-221,44336	-0,144	31,88784384							
-237,0625	-0,139	32,9516875							
100,91602	-0,134	-13,52274668							
-746,18555	-0,129	96,25793595							
-784,68945	-0,124	97,3014918							
-332,98828	-0,119	39,62560532							
-23,474609	-0,114	2,676105426							
-21,474609	-0,109	2,340732381							
255,36328	-0,104	-26,55778112							
360,53125	-0,099	-35,69259375							
384,25977	-0,094	-36,12041838							
-134,18164	-0,089	11,94216596							
224,48828	-0,084	-18,85701552							
99,865234	-0,079	-7,889353486							
-179,18359	-0,074	13,25958566							
85,804688	-0,069	-5,920523472							
-3,3085938	-0,064	0,211750003							
55,933594	-0,059	-3,300082046							
465,31641	-0,054	-25,12708614							
-585,61523	-0,049	28,69514627							
-563,94531	-0,044	24,81359364							
422,76562	-0,039	-16,48785918							
43,381836	-0,034	-1,474982424							
11,951172	-0,029	-0,346583988							
-520,8125	-0,024	12,4995							
-548,72754	-0,019	10,42582326							
-415,3457	-0,014	5,8148398							
-193,0918	-0,009	1,7378262							
92,739258	-0,004	-0,370957032							
213,45117	0,001	0,21345117							
117,35645	0,006	0,7041387							
54,041992	0,011	0,594461912							
2,3046875	0,016	0,036875							
45,162109	0,021	0,948404289							
-81,34668	0,026	-2,11501368							
-8,2138672	0,031	-0,254629883							
-76,92627	0,036	-2,76934572							
-111,78271	0,041	-4,58309111							
-257,80225	0,046	-11,8589035							
10,503418	0,051	0,535674318							
225,77246	0,056	12,64325776							
-104,4126	0,061	-6,3691686							
54,873535	0,066	3,62165331							
-5,697998	0,071	-0,404557858							
-53,723877	0,076	-4,083014652							
-42,405518	0,081	-3,434846958							
75,084717	0,086	6,457285662							
-49,121094	0,091	-4,470019554							
-62,266357	0,096	-5,977570272							
43,631714	0,101	4,406803114							
-45,161255	0,106	-4,78709303							
43,760986	0,111	4,857469446							
74,820557	0,116	8,679184612							
-81,387939	0,121	-9,847940619							
-65,998596	0,126	-8,315823096							
3,3955688	0,131	0,444819513							
34,045898	0,136	4,630242128							
41,05127	0,141	5,78822907							
84,082336	0,146	12,27602106							
3,5090942	0,151	0,529873224							
2,3124084	0,156	0,36073571							
-0,44100952	0,161	-0,071002533							
59,752838	0,166	9,918971108							
20,984436	0,171	3,588338556							
49,824615	0,176	8,76913224							
70,102417	0,181	12,68853748							
6,077301	0,186	1,130377986							
-33,094498	0,191	-6,321049118							
-40,384888	0,196	-7,915438048							
-8,0785217	0,201	-1,623782862							
-0,35507202	0,206	-0,073144836							
-51,169853	0,211	-10,79683898							
3,8958893	0,216	0,841512089							
18,749397	0,221	4,143616737							
17,463638	0,226	3,946782188							
33,956291	0,231	7,843903221							
33,025406	0,236	7,793995816							
6,124012	0,241	1,475886892							
2,4822807	0,246	0,610641052							
4,5031929	0,251	1,130301418							
24,183228	0,256	6,190906368							
5,1458969	0,261	1,343079091							
11,683746	0,266	3,107876436							
20,94165	0,271	5,67518715							
18,647465	0,276	5,14670034							
12,26326	0,281	3,44597606							
13,051123	0,286	3,732621178							
17,6901	0,291	5,1478191							
15,500137	0,296	4,588040552							
4,9233818	0,301	1,481937922							
10,838474	0,306	3,316573044							
4,6275806	0,311	1,439177567							
5,5785742	0,316	1,762829447							
12,615109	0,321	4,049449989							
18,11961	0,326	5,90699286							
5,1646404	0,331	1,709495972							
-0,36436629	0,336	-0,122427073							
9,1630535	0,341	3,124601243							
4,673717	0,346	1,617106082							
13,496416	0,351	4,737242016							
17,893703	0,356	6,370158268							
9,3750134	0,361	3,384379837							
10,794204	0,366	3,950678664							
20,022514	0,371	7,428352694							
11,342602	0,376	4,264818352							
9,0061073	0,381	3,431326881							
4,0506287	0,386	1,563542678							
9,1827497	0,391	3,590455133							
9,6032686	0,396	3,802894366							
13,720476	0,401	5,501910876							
12,092293	0,406	4,909470958							
15,897635	0,411	6,533927985							
11,39987	0,416	4,74234592							
5,284874	0,421	2,224931954							
5,9842978	0,426	2,549310863							
8,2014008	0,431	3,534803745							
0,80505061	0,436	0,351002066							
6,7026558	0,441	2,955871208							
11,554927	0,446	5,153497442							
8,6025515	0,451	3,879750726							
8,1784782	0,456	3,729386059							
9,1727304	0,461	4,228628714							
7,9101791	0,466	3,686143461							
6,6844811	0,471	3,148390598							
6,1737418	0,476	2,938701097							
0,72168136	0,481	0,347128734							
2,0989013	0,486	1,020066032							
13,633594	0,491	6,694094654							
4,5053973	0,496	2,234677061							
9,8809052	0,501	4,950333505							
7,3788347	0,506	3,733690358							
5,005146	0,511	2,557629606							
7,0923038	0,516	3,659628761							
12,018816	0,521	6,261803136							
13,157148	0,526	6,920659848							
11,172964	0,531	5,932843884							
9,0999985	0,536	4,877599196							
5,2596412	0,541	2,845465889							
4,0482788	0,546	2,210360225							
6,3112154	0,551	3,477479685							
5,952271	0,556	3,309462676							
4,0903506	0,561	2,294686687							
6,4926367	0,566	3,674832372							
9,3746872	0,571	5,352946391							
8,1118555	0,576	4,672428768							
7,612679	0,581	4,422966499							
12,235919	0,586	7,170248534							
11,029802	0,591	6,518612982							
9,2225466	0,596	5,496637774							
3,4953644	0,601	2,100714004							
5,0676994	0,606	3,071025836							
6,9632759	0,611	4,254561575							
6,4811821	0,616	3,992408174							
6,7512331	0,621	4,192515755							
9,2297907	0,626	5,777848978							
8,6879234	0,631	5,482079665							
2,7885752	0,636	1,773533827							
4,7615099	0,641	3,052127846							
6,1415896	0,646	3,967466882							
7,2557192	0,651	4,723473199							
8,4305763	0,656	5,530458053							
1,7792252	0,661	1,176067857							
5,826683	0,666	3,880570878							
1,9863691	0,671	1,332853666							
3,790746	0,676	2,562544296							
7,9907923	0,681	5,441729556							
7,4801154	0,686	5,131359164							
5,8373766	0,691	4,033627231							
6,220212	0,696	4,329267552							
9,0834551	0,701	6,367502025							
8,8575134	0,706	6,25340446							
4,7494493	0,711	3,376858452							
0,37111962	0,716	0,265721648							
0,52088928	0,721	0,375561171							
1,6969336	0,726	1,231973794							
1,5819756	0,731	1,156424164							
0,09058547	0,736	0,066670906							
-0,094245255	0,741	-0,069835734							
6,6444783	0,746	4,956780812							
6,3171501	0,751	4,744179725							
7,4128499	0,756	5,604114524							
9,0498104	0,761	6,886905714							
7,4120646	0,766	5,677641484							
5,3323736	0,771	4,111260046							
3,62412	0,776	2,81231712							
3,1796067	0,781	2,483272833							
3,4186363	0,786	2,687048132							
3,715507	0,791	2,938966037							
9,5998859	0,796	7,641509176							
8,8855762	0,801	7,117346536							
6,4735579	0,806	5,217687667							
7,1198015	0,811	5,774159016							
4,4331393	0,816	3,617441669							
4,2472281	0,821	3,48697427							
4,2492361	0,826	3,509869019							
3,173645	0,831	2,637298995							
2,7452314	0,836	2,29501345							
10,933867	0,841	9,195382147							
12,066327	0,846	10,20811264							
6,4166636	0,851	5,460580724							
9,3946695	0,856	8,041837092							
7,0557394	0,861	6,074991623							
3,5766301	0,866	3,097361667							
1,7203447	0,871	1,498420234							
3,3211112	0,876	2,909293411							
8,4884262	0,881	7,478303482							
9,1607418	0,886	8,116417235							
3,6697705	0,891	3,269765515							
0,60784686	0,896	0,544630787							
4,8940725	0,901	4,409559322							
6,2851524	0,906	5,694348074							
-0,6912595	0,911	-0,629737404							
1,9213811	0,916	1,759985088							
1,1741784	0,921	1,081418306							
-0,080227017	0,926	-0,074290218							
5,4333239	0,931	5,058424551							
1,5300035	0,936	1,432083276							
2,9730287	0,941	2,797620007							
12,552948	0,946	11,87508881							
10,658772	0,951	10,13649217							
9,1816406	0,956	8,777648414							
9,8991051	0,961	9,513040001							
13,019053	0,966	12,5764052							
13,802185	0,971	13,40192163							
10,753778	0,976	10,49568733							
3,9979684	0,981	3,922007							
2,897845	0,986	2,85727517							
0,98828769	0,991	0,979393101							
-1,3610511	0,996	-1,355606896							
1,3931834	1,001	1,394576583							
4,1320539	1,006	4,156846223							
4,8768115	1,011	4,930456426							
1,1433873	1,016	1,161681497							
2,4500551	1,021	2,501506257							
6,8504543	1,026	7,028566112							
12,554849	1,031	12,94404932							
9,5057478	1,036	9,847954721							
4,4404392	1,041	4,622497207							
1,0975602	1,046	1,148047969							
2,7566695	1,051	2,897259644							
5,7678084	1,056	6,09080567							
7,9891181	1,061	8,476454304							
2,576921	1,066	2,746997786							
0,58379155	1,071	0,62524075							
4,8448825	1,076	5,21309357							
3,9417939	1,081	4,261079206							
3,7063668	1,086	4,025114345							
5,694243	1,091	6,212419113							
5,814393	1,096	6,372574728							
4,4971209	1,101	4,951330111							
1,9841003	1,106	2,194414932							
2,3119495	1,111	2,568575894							
2,9309411	1,116	3,270930268							
2,707974	1,121	3,035638854							
1,9843514	1,126	2,234379676							
1,4554379	1,131	1,646100265							
1,7204485	1,136	1,954429496							
2,2070858	1,141	2,518284898							
3,5495305	1,146	4,067761953							
7,2107115	1,151	8,299528936							
6,297822	1,156	7,280282232							
2,6684759	1,161	3,09810052							
