s_300	s_0	energy_e10e20
1,936707667482551e-10	1,936707667482551e-10	61,02306167171033
1,904929740703665e-10	1,904929740703665e-10	60,55455621301776
1,878294824564364e-10	1,878294824564364e-10	60,09142555159202
1,855712071119342e-10	1,855712071119342e-10	59,63358778625955
1,836147384892684e-10	1,836147384892684e-10	59,18096256993741
1,818722012103535e-10	1,818722012103535e-10	58,73347107438017
1,802751648938283e-10	1,802751648938283e-10	58,29103595585618
1,787742985470686e-10	1,787742985470686e-10	57,85358132172537
-1,01922582834959e-07	-1,01922582834959e-07	57,42103269789169
1,759400947776157e-10	1,759400947776157e-10	56,99331699710404
1,745730696711689e-10	1,745730696711689e-10	56,5703624880806
1,732280907162931e-10	1,732280907162931e-10	56,15209876543211
-7,756626699119807e-08	-7,756626699119807e-08	55,73845672036057
1,705905015114695e-10	1,705905015114695e-10	55,32936851211073
1,692947807896417e-10	1,692947807896417e-10	54,92476754015216
-1,101746130734682e-07	-1,101746130734682e-07	54,52458841707071
-8,106475695967676e-08	-8,106475695967676e-08	54,12876694214876
1,654929837968666e-10	1,654929837968666e-10	53,73724007561437
1,642535426071845e-10	1,642535426071845e-10	53,34994591353987
1,630281985853799e-10	1,630281985853799e-10	52,96682366337146
1,618178976059426e-10	1,618178976059426e-10	52,58781362007169
1,606250043550972e-10	1,606250043550972e-10	52,21285714285715
1,594548848515842e-10	1,594548848515842e-10	51,84189663251479
-1,201342884451151e-07	-1,201342884451151e-07	51,47487550928022
1,572380642755889e-10	1,572380642755889e-10	51,11173819126223
1,562531360832509e-10	1,562531360832509e-10	50,75243007339814
1,554336085973773e-10	1,554336085973773e-10	50,39689750692521
1,548940599604976e-10	1,548940599604976e-10	50,04508777935352
1,548123509564903e-10	1,548123509564903e-10	49,6969490949265
-9,314932860434056e-08	-9,314932860434056e-08	49,35243055555556
-1,293176040053368e-07	-1,293176040053368e-07	49,01148214221573
1,60404815687798e-10	1,60404815687798e-10	48,67405469678954
1,65730671142228e-10	1,65730671142228e-10	48,34009990434691
1,737355705699883e-10	1,737355705699883e-10	48,00957027584914
-9,806426241993905e-08	-9,806426241993905e-08	47,68241913126537
2,000308450078592e-10	2,000308450078592e-10	47,35860058309039
2,191040766774677e-10	2,191040766774677e-10	47,0380695202528
2,422322722850367e-10	2,422322722850367e-10	46,72078159240322
2,690622204681858e-10	2,690622204681858e-10	46,40669319457199
2,988429332617671e-10	2,988429332617671e-10	46,09576145218684
